id,position,description,category_id
1466,58,"Copy a file using pv and watch its progress",250
1467,58,"Define a quick calculator function",250
1468,58,"Create a CD/DVD ISO image from disk.",250
1469,57,"mkdir & cd into it as single command",250
1470,57,"Create a pdf version of a manpage",250
1471,57,"Stream YouTube URL directly to mplayer.",250
1472,57,"Make directory including intermediate directories",250
1473,56,"Easily search running processes (alias).",250
1474,55,"Multiple variable assignments from command output in BASH",250
1475,54,"Remove all but one specific file",250
1476,54,"git remove files which have been deleted",250
1477,54,"Edit a file on a remote host using vim",250
1478,53,"Job Control",250
1479,53,"Generate a random password 30 characters long",250
1480,52,"Show apps that use internet connection at the moment. (Multi-Language)",250
1481,52,"Graph # of connections for each hosts.",250
1482,50,"Record a screencast and convert it to an mpeg",250
1483,50,"Monitor progress of a command",250
1484,49,"Search for a <pattern> string inside all files in the current directory",250
1485,49,"Monitor the queries being run by MySQL",250
1486,49,"Get the 10 biggest files/folders for the current direcotry",250
1487,48,"Show numerical values for each of the 256 colors in bash",250
1488,48,"Recursively remove all empty directories",250
1489,48,"Display a cool clock on your terminal",250
1490,48,"Convert seconds to human-readable format",250
1491,47,"Nice weather forecast on your shell",250
1492,47,"Check your unread Gmail from the command line",250
1493,47,"Search commandlinefu.com from the command line using the API",250
1494,47,"Processor / memory bandwidthd? in GB/s",250
1495,46,"pretend to be busy in office to enjoy a cup of coffee",250
1496,46,"Makes the permissions of file2 the same as file1",250
1497,46,"Remove security limitations from PDF documents using ghostscript",250
1498,46,"Send pop-up notifications on Gnome",250
1499,45,"(Debian/Ubuntu) Discover what package a file belongs to",250
1500,45,"Mount a .iso file in UNIX/Linux",250
1501,44,"Remove a line in a text file. Useful to fix",250
1502,44,"To print a specific line from a file",250
1503,44,"Open Finder from the current Terminal location",250
1504,44,"Create a persistent connection to a machine",250
1505,44,"Run a command only when load average is below a certain threshold",250
1506,44,"Create a quick back-up copy of a file",250
1507,43,"Start COMMAND, and kill it if still running after 5 seconds",250
1508,43,"Attach screen over ssh",250
1509,43,"Show a 4-way scrollable process tree with full details.",250
1510,42,"List all bash shortcuts",250
1511,41,"RTFM function",250
1512,41,"Eavesdrop on your system",250
1513,41,"Remove all files previously extracted from a tar(.gz) file.",250
1514,40,"Broadcast your shell thru ports 5000, 5001, 5002 ...",250
1515,40,"directly ssh to host B that is only accessible through host A",250
1516,40,"which program is this port belongs to ?",250
1517,39,"What is my public IP-address?",250
1518,38,"Retry the previous command until it exits successfully",250
1519,38,"Synchronize date and time with a server over ssh",250
1520,38,"Edit a google doc with vim",250
1521,38,"Run a file system check on your next boot.",250
1522,38,"List only the directories",250
1523,38,"Share a terminal screen with others",250
1524,37,"Google text-to-speech in mp3 format",250
1525,37,"Download all images from a site",250
1526,36,"Download Youtube video with wget!",250
1527,36,"Python version 3: Serve current directory tree at http://$HOSTNAME:8000/",250
1528,36,"Get your outgoing IP address",250
1529,36,"Binary Clock",250
1530,36,"Sort the size usage of a directory tree by gigabytes, kilobytes, megabytes, then bytes.",250
1531,35,"Duplicate installed packages from one machine to the other (RPM-based systems)",250
1532,35,"Draw kernel module dependancy graph.",250
1533,35,"Compare two directory trees.",250
1534,35,"Bring the word under the cursor on the :ex line in Vim",250
1535,35,"Remind yourself to leave in 15 minutes",250
1536,35,"make directory tree",250
1537,34,"Convert Youtube videos to MP3",250
1538,34,"Find out how much data is waiting to be written to disk",250
1539,34,"Use tee to process a pipe with two or more processes",250
1540,34,"Show apps that use internet connection at the moment.",250
1541,34,"Backup all MySQL Databases to individual files",250
1542,34,"Port Knocking!",250
1543,34,"Add timestamp to history",250
1544,34,"Recursively change permissions on files, leave directories alone.",250
1545,34,"Find files that have been modified on your system in the past 60 minutes",250
1546,33,"Quick access to ASCII code of a key",250
1547,33,"using `!#$' to referance backward-word",250
1548,33,"Search recursively to find a word or phrase in certain file types, such as C code",250
1549,33,"Intercept, monitor and manipulate a TCP connection.",250
1550,33,"Block known dirty hosts from reaching your machine",250
1551,33,"check site ssl certificate dates",250
1552,32,"find files in a date range",250
1553,32,"Control ssh connection",250
1554,32,"run complex remote shell cmds over ssh, without escaping quotes",250
1555,32,"Create a directory and change into it at the same time",250
1556,32,"Colorized grep in less",250
1557,31,"Exclude multiple columns using AWK",250
1558,31,"ls not pattern",250
1559,31,"output your microphone to a remote computer's speaker",250
1560,31,"analyze traffic remotely over ssh w/ wireshark",250
1561,30,"Given a file path, unplug the USB device on which the file is located (the file must be on an USB device !)",250
1562,30,"Remove a line in a text file. Useful to fix ""ssh host key change"" warnings",250
1563,30,"Save a file you edited in vim without the needed permissions (no echo)",250
1564,30,"Remove blank lines from a file using grep and save output to new file",250
1565,30,"delete a line from your shell history",250
1566,29,"Get the IP of the host your coming from when logged in remotely",250
1567,29,"Random Number Between 1 And X",250
1568,29,"Lists all listening ports together with the PID of the associated process",250
1569,29,"easily find megabyte eating files or directories",250
1570,29,"Exclude .svn, .git and other VCS junk for a pristine tarball",250
1571,29,"exit without saving history",250
1572,29,"How to establish a remote Gnu screen session that you can re-connect to",250
1573,29,"Copy a MySQL Database to a new Server via SSH with one command",250
1574,29,"Convert PDF to JPG",250
1575,28,"Find usb device",250
1576,28,"find all file larger than 500M",250
1577,28,"notify yourself when a long-running command which has ALREADY STARTED is finished",250
1578,28,"Create colorized html file from Vim or Vimdiff",250
1579,28,"live ssh network throughput test",250
1580,28,"Create a nifty overview of the hardware in your computer",250
1581,28,"Save your sessions in vim to resume later",250
1582,27,"Tell local Debian machine to install packages used by remote Debian machine",250
1583,27,"Bind a key with a command",250
1584,27,"Take screenshot through SSH",250
1585,27,"intersection between two files",250
1586,27,"GREP a PDF file.",250
1587,27,"Colorful man",250
1588,27,"copy working directory and compress it on-the-fly while showing progress",250
1589,27,"prints line numbers",250
1590,27,"convert unixtime to human-readable",250
1591,27,"A fun thing to do with ram is actually open it up and take a peek. This command will show you all the string (plain text) values in ram",250
1592,27,"Diff on two variables",250
1593,27,"Prettify an XML file",250
1594,26,"Encrypted archive with openssl and tar",250
1595,26,"Convert seconds into minutes and seconds",250
1596,26,"Alias HEAD for automatic smart output",250
1597,26,"Pipe stdout and stderr, etc., to separate commands",250
1598,26,"Manually Pause/Unpause Firefox Process with POSIX-Signals",250
1599,26,"Gets a random Futurama quote from /.",250
1600,26,"Use lynx to run repeating website actions",250
1601,26,"runs a bash script in debugging mode",250
1602,26,"Instead of writing a multiline if/then/else/fi construct you can do that by one line",250
1603,26,"Display a list of committers sorted by the frequency of commits",250
1604,25,"check the status of 'dd' in progress (OS X)",250
1605,25,"A child process which survives the parent's death (for sure)",250
1606,25,"prevent accidents while using wildcards",250
1607,25,"Opens vi/vim at pattern in file",250
1608,25,"April Fools' Day Prank",250
1609,25,"Press Any Key to Continue",250
1610,25,"Get your external IP address",250
1611,25,"List installed deb packages by size",250
1612,25,"backup all your commandlinefu.com favourites to a plaintext file",250
1613,25,"send echo to socket network",250
1614,25,"Schedule a script or command in x num hours, silently run in the background even if logged out",250
1615,25,"Go to parent directory of filename edited in last command",250
1616,25,"Draw a Sierpinski triangle",250
1617,25,"Run a long job and notify me when it's finished",250
1618,25,"Make anything more awesome",250
1619,25,"List all files opened by a particular command",250
1620,25,"Nicely display permissions in octal format with filename",250
1621,25,"recursive search and replace old with new string, inside files",250
1622,25,"shut of the screen.",250
1623,25,"Create a single-use TCP (or UDP) proxy",250
1624,25,"read manpage of a unix command as pdf in preview (Os X)",250
1625,25,"Switch 2 characters on a command line.",250
1626,25,"List the number and type of active network connections",250
1627,24,"Use file(1) to view device information",250
1628,24,"exclude a column with cut",250
1629,24,"Recover a deleted file",250
1630,24,"Insert  the  last  argument  of  the previous command",250
1631,24,"View the newest xkcd comic.",250
1632,24,"Create an audio test CD of sine waves from 1 to 99 Hz",250
1633,24,"Remove color codes (special characters) with sed",250
1634,24,"throttle bandwidth with cstream",250
1635,24,"When feeling down, this command helps",250
1636,24,"Brute force discover",250
1637,24,"find geographical location of an ip address",250
1638,24,"Speed up launch of firefox",250
1639,23,"Create strong, but easy to remember password",250
1640,23,"format txt as table not joining empty columns",250
1641,23,"Find Duplicate Files (based on size first, then MD5 hash)",250
1642,23,"Shell recorder with replay",250
1643,23,"Bind a key with a command",250
1644,23,"List files with quotes around each filename",250
1645,23,"Makes you look busy",250
1646,23,"Duplicate several drives concurrently",250
1647,23,"Listen to BBC Radio from the command line.",250
1648,23,"Monitor bandwidth by pid",250
1649,23,"Execute a command with a timeout",250
1650,23,"use vim to get colorful diff output",250
1651,23,"find files containing text",250
1652,23,"Quickly graph a list of numbers",250
1653,23,"Perform a branching conditional",250
1654,23,"Resume scp of a big file",250
1655,23,"Use tee + process substitution to split STDOUT to multiple commands",250
1656,23,"Analyse an Apache access log for the most common IP addresses",250
1657,22,"Annotate tail -f with timestamps",250
1658,22,"Fast, built-in pipe-based data sink",250
1659,22,"Generate an XKCD #936 style 4 word password",250
1660,22,"Repoint an existing symlink to a new location",250
1661,22,"GRUB2: set Super Mario as startup tune",250
1662,22,"Diff remote webpages using wget",250
1663,22,"Close a hanging ssh session",250
1664,22,"processes per user counter",250
1665,22,"convert filenames in current directory to lowercase",250
1666,22,"Find files that were modified by a given command",250
1667,22,"Terminal - Show directories in the PATH, one per line with sed and bash3.X `here string'",250
1668,22,"Cut out a piece of film from a file. Choose an arbitrary length and starting time.",250
1669,22,"List of commands you use most often",250
1670,22,"Efficiently print a line deep in a huge log file",250
1671,21,"prevent large files from being cached in memory (backups!)",250
1672,21,"Check if system is 32bit or 64bit",250
1673,21,"dmesg with colored human-readable dates",250
1674,21,"convert single digit to double digits",250
1675,21,"Limit the cpu usage of a process",250
1676,21,"Rapidly invoke an editor to write a long, complex, or tricky command",250
1677,21,"Single use vnc-over-ssh connection",250
1678,21,"List alive hosts in specific subnet",250
1679,21,"View all date formats, Quick Reference Help Alias",250
1680,21,"your terminal sings",250
1681,21,"Make sure a script is run in a terminal.",250
1682,21,"Matrix Style",250
1683,21,"Quickly (soft-)reboot skipping hardware checks",250
1684,21,"pipe output of a command to your clipboard",250
1685,21,"Recursively compare two directories and output their differences on a readable format",250
1686,21,"Find broken symlinks and delete them",250
1687,21,"ls -hog --> a more compact ls -l",250
1688,21,"git remove files which have been deleted",250
1689,20,"Silently ensures that a FS is mounted on the given mount point (checks if it's OK, otherwise unmount, create dir and mount)",250
1690,20,"sniff network traffic on a given interface and displays the IP addresses of the machines communicating with the current host (one IP per line)",250
1691,20,"Create a local compressed tarball from remote host directory",250
1692,20,"df without line wrap on long FS name",250
1693,20,"send a circular",250
1694,20,"The BOFH Excuse Server",250
1695,20,"dd with progress bar and statistics",250
1696,20,"I finally found out how to use notify-send with at or cron",250
1697,20,"See udev at work",250
1698,20,"Backup all MySQL Databases to individual files",250
1699,20,"Ultimate current directory usage command",250
1700,20,"bash: hotkey to put current commandline to text-editor",250
1701,20,"Show current working directory of a process",250
1702,20,"Have an ssh session open forever",250
1703,20,"Base conversions with bc",250
1704,20,"Put readline into vi mode",250
1705,20,"Transfer SSH public key to another machine in one step",250
1706,20,"Start a command on only one CPU core",250
1707,20,"convert uppercase files to lowercase files",250
1708,19,"return external ip",250
1709,19,"Simple multi-user encrypted chat server for 5 users",250
1710,19,"Check if your ISP is intercepting DNS queries",250
1711,19,"Display current time in requested time zones.",250
1712,19,"Remove a range of lines from a file",250
1713,19,"Stamp a text line on top of the pdf pages.",250
1714,19,"Print diagram of user/groups",250
1715,19,"Create a file server, listening in port 7000",250
1716,19,"bypass any aliases and functions for the command",250
1717,19,"Share your terminal session real-time",250
1718,19,"stderr in color",250
1719,19,"VI config to save files with +x when a shebang is found on line 1",250
1720,19,"Create a single PDF from multiple images with ImageMagick",250
1721,19,"Delete all empty lines from a file with vim",250
1722,19,"perl one-liner to get the current week number",250
1723,19,"DELETE all those duplicate files but one based on md5 hash comparision in the current directory tree",250
1724,19,"List recorded formular fields of Firefox",250
1725,19,"Using awk to sum/count a column of numbers.",250
1726,19,"Get all the keyboard shortcuts in screen",250
1727,19,"Get list of servers with a specific port open",250
1728,19,"Start a new command in a new screen window",250
1729,18,"Notepad in a browser (type this in the URL bar)",250
1730,18,"Extract audio from Flash video (*.flv) as mp3 file",250
1731,18,"cat a bunch of small files with file indication",250
1732,18,"Stop Flash from tracking everything you do.",250
1733,18,"send a circular",250
1734,18,"List all open ports and their owning executables",250
1735,18,"Purge configuration files of removed packages on  debian based systems",250
1736,18,"Monitor open connections for httpd including listen, count and sort it per IP",250
1737,18,"Convert text to picture",250
1738,18,"Remote screenshot",250
1739,18,"Define words and phrases with google.",250
1740,18,"List all authors of a particular git project",250
1741,18,"track flights from the command line",250
1742,18,"Harder, Faster, Stronger SSH clients",250
1743,18,"Clean up poorly named TV shows.",250
1744,18,"Pretty Print a simple csv in the command line",250
1745,18,"Cleanup firefox's database.",250
1746,18,"Mount the first NTFS partition inside a VDI file (VirtualBox Disk Image)",250
1747,18,"check open ports",250
1748,18,"Find Duplicate Files (based on MD5 hash)",250
1749,18,"Triple monitoring in screen",250
1750,18,"Print a great grey scale demo !",250
1751,18,"Create a list of binary numbers",250
1752,18,"Create a system overview dashboard on F12 key",250
1753,18,"Save an HTML page, and covert it to a .pdf file",250
1754,18,"create an emergency swapfile when the existing swap space is getting tight",250
1755,18,"Relocate a file or directory, but keep it accessible on the old location throug a simlink.",250
1756,18,"disable history for current shell session",250
1757,18,"a short counter",250
1758,18,"How to run X without any graphics hardware",250
1759,18,"Rsync remote data as root using sudo",250
1760,18,"Convert all MySQL tables and fields to UTF8",250
1761,18,"Quickly generate an MD5 hash for a text string using OpenSSL",250
1762,18,"Pipe STDOUT to vim",250
1763,18,"Copy stdin to your X11 buffer",250
1764,18,"Get info about remote host ports and OS detection",250
1765,18,"Copy a file structure without files",250
1766,18,"Get http headers for an url",250
1767,18,"Count files beneath current directory (including subfolders)",250
1768,17,"random git-commit message",250
1769,17,"Generate QR code for a WiFi hotspot",250
1770,17,"vi a remote file",250
1771,17,"Show what PID is listening on port 80 on Linux",250
1772,17,"convert from hexidecimal or octal to decimal",250
1773,17,"save man-page as pdf",250
1774,17,"Convert seconds into minutes and seconds",250
1775,17,"List by size all of the directories in a given tree.",250
1776,17,"List files accessed by a command",250
1777,17,"Find all the links to a file",250
1778,17,"Recover tmp flash videos (deleted immediately by the browser plugin)",250
1779,17,"rsync instead of scp",250
1780,17,"Visit wikileaks.com",250
1781,17,"Make sudo forget password instantly",250
1782,17,"Mirror a directory structure from websites with an Apache-generated file indexes",250
1783,17,"Quickly share code or text from vim to others.",250
1784,17,"Print a row of characters across the terminal",250
1785,17,"Limit bandwidth usage by apt-get",250
1786,17,"download and unpack tarball without leaving it sitting on your hard drive",250
1787,17,"Colored diff ( via vim ) on 2 remotes files on your local computer.",250
1788,17,"Tune your guitar from the command line.",250
1789,17,"Split a tarball into multiple parts",250
1790,17,"Remove executable bit from all files in the current directory recursively, excluding other directories",250
1791,17,"Unbelievable Shell Colors, Shading, Backgrounds, Effects for Non-X",250
1792,17,"More precise BASH debugging",250
1793,17,"get all pdf and zips from a website using wget",250
1794,17,"Show me a histogram of the busiest minutes in a log file:",250
1795,17,"Smiley Face Bash Prompt",250
1796,17,"coloured tail",250
1797,17,"Search for commands from the command line",250
1798,17,"Install a Firefox add-on/theme to all users",250
1799,17,"clear current line",250
1800,17,"Terminate a frozen SSH-session",250
1801,17,"Backup a remote database to your local filesystem",250
1802,17,"Download an entire static website to your local machine",250
1803,17,"Generat a Random MAC address",250
1804,17,"Batch convert files to utf-8",250
1805,16,"Run entire shell script as root",250
1806,16,"Check if system is 32bit or 64bit",250
1807,16,"Show permissions of current directory and all directories upwards to /",250
1808,16,"move you up one directory quickly",250
1809,16,"Hide the name of a process listed in the `ps` output",250
1810,16,"Remove a line from a file using sed (useful for updating known SSH server keys when they change)",250
1811,16,"Short and elegant way to backup a single file before you change it.",250
1812,16,"Find the most recently changed files (recursively)",250
1813,16,"All IP connected to  my host",250
1814,16,"Figure out what shell you're running",250
1815,16,"Download a file and uncompress it while it downloads",250
1816,16,"List 10 largest directories in current directory",250
1817,16,"Rename all .jpeg and .JPG files to have .jpg extension",250
1818,16,"See where a shortened url takes you before click",250
1819,16,"Stream YouTube URL directly to MPlayer",250
1820,16,"Generate a Random MAC address",250
1821,16,"Remove Thumbs.db files from folders",250
1822,16,"List open files that have no links to them on the filesystem",250
1823,16,"Display BIOS Information",250
1824,16,"open path with your default program (on Linux/*BSD)",250
1825,16,"Copy an element from the previous command",250
1826,16,"View user activity per directory.",250
1827,16,"use the previous commands params in the current command",250
1828,16,"Choose from a nice graphical menu which DI.FM radio station to play",250
1829,16,"check the status of 'dd' in progress (OS X)",250
1830,16,"copy from host1 to host2, through your host",250
1831,16,"Convert all Flac in a directory to Mp3 using maximum quality variable bitrate",250
1832,16,"recursive search and replace old with new string, inside files",250
1833,16,"Clean your broken terminal",250
1834,16,"grep -v with multiple patterns.",250
1835,16,"redirect stdout and stderr each to separate files and print both to the screen",250
1836,16,"Identify long lines in a file",250
1837,16,"Use all the cores or CPUs when compiling",250
1838,16,"Prints total line count contribution per user for an SVN repository",250
1839,16,"Analyze awk fields",250
1840,16,"Colored SVN diff",250
1841,16,"Run a command, store the output in a pastebin on the internet and place the URL on the xclipboard",250
1842,16,"Show git branches by date - useful for showing active branches",250
1843,16,"Find if the command has an alias",250
1844,16,"Find last reboot time",250
1845,16,"Get your public ip using dyndns",250
1846,16,"Show a config file without comments",250
1847,16,"Start screen in detached mode",250
1848,16,"Given process ID print its environment variables",250
1849,16,"Look up the definition of a word",250
1850,16,"Diff files on two remote hosts.",250
1851,16,"Ctrl+S Ctrl+Q terminal output lock and unlock",250
1852,16,"iso-8859-1 to utf-8 safe recursive rename",250
1853,16,"create dir tree",250
1854,16,"Run any GUI program remotely",250
1855,16,"Delete all empty lines from a file with vim",250
1856,16,"List the files any process is using",250
1857,16,"Backup your hard drive with dd",250
1858,16,"Show biggest files/directories, biggest first with 'k,m,g' eyecandy",250
1859,16,"change directory to actual path instead of symlink path",250
1860,16,"Recursively remove .svn directories from the current location",250
1861,15,"Read and write to TCP or UDP sockets with common bash tools",250
